Model, First flight, Seats, Fuel burn Km, Fuel burn Miles, Fuel per seat, Fuel per seat MPG
Antonov An-148 (241 nmi), 2004, 89, 4.23, 15.0lb/mi, 5.95, 39.5
Antonov An-158 (241 nmi), 2010, 99, 4.34, 15.4lb/mi, 5.47, 43.0
ATR 42-500, 1995, 48, 1.26, 4.5lb/mi, 3.15, 75
ATR 72-500, 1997, 72, 1.67, 5.9lb/mi, 2.89, 81
ATR 72-500, 1997, 70, 1.42, 5.0lb/mi, 2.53, 93
ATR 72-600, 2010, 72, 1.56, 5.5lb/mi, 2.79, 84
Beechcraft 1900D, 226nm, 1982, 19, 1.00, 3.56lb/mi, 6.57, 35.8
Bombardier CRJ100, 1991, 50, 2.21, 7.83lb/mi, 5.50, 42.8
Bombardier CRJ200, 1995, 50, 2.18, 7.73lb/mi, 5.43, 43.3
Bombardier CRJ700, 1999, 70, 2.95, 10.47lb/mi, 5.25, 44.8
Bombardier CRJ900, 2001, 88, 3.47, 12.31lb/mi, 4.91, 47.9
Bombardier Dash 8 Q400, 1998, 78, 2.16, 7.7lb/mi, 3.46, 68.0
Dornier 228, 1981, 19, 0.94, 3.3lb/mi, 6.22, 37.8
Dornier 328, 1991, 32, 1.22, 4.3lb/mi, 4.76, 49.4
Embraer Brasilia, 1983, 30, 0.92, 3.3lb/mi, 3.82, 61.6
Embraer ERJ-135ER, 309 nmi, 1998, 37, 1.64, 5.83lb/mi, 5.52, 42.6
Embraer ERJ-145ER, 305 nmi, 1995, 50, 1.76, 6.23lb/mi, 4.37, 53.8
Saab 340, 1983, 32, 1.1, 3.9lb/mi, 4.29, 54.8
Saab 2000, 1992, 50, 1.75, 6.2lb/mi, 4.39, 53.6
Airbus A220 100, 2013, 115, 2.8, 10.1lb/mi, 3.07, 76.7
Airbus A220 300, 2015, 140, 3.10, 11.01lb/mi, 2.75, 85.6
Airbus A220-100, 2013, 125, 2.57, 9.1lb/mi, 2.57, 92
Airbus A220-300, 2015, 160, 2.85, 10.11lb/mi, 2.23, 105
Airbus A319neo, 2015, 144, 3.37, 11.94lb/mi, 2.92, 80.6
Airbus A319neo, 2015, 124, 2.82, 10lb/mi, 2.82, 83.5
Airbus A320neo, 2015, 154, 2.79, 9.9lb/mi, 2.25, 104.7
Airbus A321neo, 2015, 192, 3.30, 11.7lb/mi, 2.19, 107.4
Antonov An-148, 2004, 89, 2.89, 10.3lb/mi, 4.06, 57.9
Antonov An-158, 2010, 99, 3, 11lb/mi, 3.79, 62.1
ATR 42-600, 2010, 50, 1.30, 4.6lb/mi, 3.27, 72
ATR 72-600, 2010, 72, 1.41, 5lb/mi, 2.46, 96
Boeing 737-300, 1984, 126, 3.49, 12.4lb/mi, 3.46, 68
Boeing 737-600, 1998, 110, 3.16, 11.2lb/mi, 3.59, 65.5
Boeing 737-700, 1997, 126, 3.21, 11.4lb/mi, 3.19, 74
Boeing 737 MAX 7, 2017, 128, 2.85, 10.1lb/mi, 2.77, 84.8
Boeing 737 MAX 7, 2017, 144, 3.39, 12.01lb/mi, 2.93, 80.2
Boeing 737-800, 1997, 162, 3.59, 12.7lb/mi, 2.77, 85
Boeing 737 MAX 8, 2017, 166, 3.04, 10.8lb/mi, 2.28, 103.2
Boeing 737-900ER, 2006, 180, 3.83, 13.6lb/mi, 2.66, 88
Boeing 737 MAX 9, 2017, 180, 3.30, 11.7lb/mi, 2.28, 103
Boeing 757-200, 1982, 200, 4.68, 16.61lb/mi, 2.91, 80.7
Boeing 757-300, 1998, 243, 5.19, 18.41lb/mi, 2.66, 88.4
Bombardier CRJ100, 1991, 50, 1.87, 6.65lb/mi, 4.68, 50.3
Bombardier CRJ200, 1995, 50, 1.80, 6.39lb/mi, 4.49, 52.4
Bombardier CRJ700, 1999, 70, 2.45, 8.68lb/mi, 4.36, 54
Bombardier CRJ900, 2001, 88, 2.78, 9.88lb/mi, 3.94, 59.7
Bombardier CRJ1000, 2009, 100, 2.66, 9.4lb/mi, 3.33, 71
Bombardier Dash 8 Q400, 1998, 74, 2.31, 8.2lb/mi, 3.9, 60
Bombardier Dash 8 Q400, 1998, 74, 1.83, 6.5lb/mi, 3.09, 76
Dornier 328, 1991, 31, 1.08, 3.8lb/mi, 4.35, 54.1
Embraer E-Jet E2-175, 2020, 88, 2.44, 8.64lb/mi, 3.44, 68.3
Embraer E-Jet E2-190, 2018, 106, 2.48, 8.8lb/mi, 2.93, 80
Embraer E-Jet E2-190, 2018, 106, 2.83, 10.04lb/mi, 3.32, 70.8
Embraer E-Jet E2-195, 2019, 132, 2.62, 9.3lb/mi, 2.5, 94
Embraer E-Jet E2-195, 2019, 132, 3.07, 10.91lb/mi, 2.90, 81
Embraer E-Jet-170, 2002, 80, 2.6, 9.3lb/mi, 4.08, 57.7
Embraer E-Jet-175, 2005, 88, 2.80, 9.95lb/mi, 3.97, 59.3
Embraer E-Jet-190, 2004, 114, 3.24, 11.48lb/mi, 3.54, 66.5
Embraer E-Jet-195, 2004, 122, 3.21, 11.38lb/mi, 3.28, 71.8
Embraer ERJ-135ER, 1998, 37, 1.44, 5.12lb/mi, 4.86, 48.4
Embraer ERJ-145ER, 1996, 50, 1.55, 5.49lb/mi, 3.86, 61
Pilatus PC-12, 1991, 9, 0.41, 1.5lb/mi, 5.66, 41.6
Saab 340, 1983, 31, 0.95, 3.4lb/mi, 3.83, 61.4
Saab 2000, 1992, 50, 1.54, 5.5lb/mi, 3.85, 61.1
Sukhoi SSJ100, 2008, 98, 2.81, 10.0lb/mi, 3.59, 65.5
Airbus A220-100, 2013, 125, 2.28, 8.1lb/mi, 2.28, 103
Airbus A220-300, 2015, 135, 2.30, 8.17lb/mi, 2.13, 110
Airbus A220-300, 2015, 150, 2.42, 8.6lb/mi, 2.02, 116
Airbus A220-300, 2015, 160, 2.56, 9.08lb/mi, 2.00, 118
Airbus A319, 1995, 124, 2.93, 10.4lb/mi, 2.95, 80
Airbus A319neo, 2015, 136, 2.4, 8.6lb/mi, 2.22, 106
Airbus A320, 1987, 150, 3.13, 11.1lb/mi, 2.61, 90
Airbus A320neo, 2016, 180, 2.79, 9.9lb/mi, 1.94, 121
Airbus A321-200, 1996, 180, 3.61, 12.8lb/mi, 2.50, 94
Airbus A321neo, 2017, 220, 3.47, 12.3lb/mi, 1.98, 119
Airbus A330-200, 1997, 293, 5.6, 19.8lb/mi, 2.37, 99
Antonov An-148, 1190 nmi, 2004, 89, 2.75, 9.8lb/mi, 3.86, 60.9
Antonov An-158, 1190 nmi, 2010, 99, 2.83, 10.0lb/mi, 3.57, 65.9
Boeing 737-600, 1998, 110, 2.77, 9.8lb/mi, 3.15, 75
Boeing 737-700, 1997, 126, 2.82, 10.0lb/mi, 2.79, 84
Boeing 737-700, 1997, 128, 2.8, 9.9lb/mi, 2.71, 87
Boeing 737 MAX-7, 2017, 140, 2.51, 8.91lb/mi, 1.94, 121
Boeing 737-800, 1997, 162, 3.17, 11.2lb/mi, 2.44, 96
Boeing 737-800, 1997, 160, 3.45, 12.23lb/mi, 2.68, 88
Boeing 737-800W, 1997, 162, 3.18, 11.3lb/mi, 2.45, 96
Boeing 737 MAX-8, 2017, 162, 2.71, 9.6lb/mi, 2.04, 115
Boeing 737-900ER, 2006, 180, 3.42, 12.1lb/mi, 2.38, 99
